ST004D01T,IC177Q01JA,IC177Q02JA,IC177Q03JA,IC177Q04JA,IC177Q05JA,IC177Q06JA,IC177Q07JA,IC178Q01JA,IC178Q02JA,IC178Q03JA,IC178Q04JA,IC178Q05JA,IC178Q06JA,IC178Q07JA,AGE,PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH,PV1READ,PV2READ,PV3READ,PV4READ,PV5READ,PV6READ,PV7READ,PV8READ,PV9READ,PV10READ,PV1SCIE,PV2SCIE,PV3SCIE,PV4SCIE,PV5SCIE,PV6SCIE,PV7SCIE,PV8SCIE,PV9SCIE,PV10SCIE
1.0,3.0,,4.0,,6.0,,,3.0,3.0,3.0,3.0,5.0,4.0,5.0,15.92,323.718,335.732,357.058,326.27,287.149,326.386,331.798,343.632,356.017,304.079,353.913,376.509,373.279,327.346,389.334,369.653,380.93,382.154,370.887,400.427,408.335,352.473,325.453,301.251,355.97,301.763,281.861,367.01,391.006,343.428
2.0,,,,,,,,,,,,,,,15.33,413.886,403.425,372.889,394.697,368.037,405.35,428.075,381.888,477.514,437.563,469.381,443.403,429.116,451.707,430.32,469.982,418.644,445.202,439.393,432.428,400.172,436.853,448.122,401.846,391.146,436.971,427.341,439.676,483.881,465.379
1.0,4.0,1.0,3.0,5.0,2.0,3.0,4.0,,,,,,,,15.75,350.584,380.908,351.513,319.805,332.329,341.088,350.101,367.36,334.379,372.744,378.434,447.586,393.417,408.293,380.062,435.267,396.985,385.18,385.698,416.496,434.326,431.453,406.398,404.514,452.927,428.97,456.314,437.304,396.425,402.862
1.0,,,,,,,,,,,,,,,15.42,335.555,252.83,274.804,240.545,324.248,315.903,297.953,308.307,277.736,277.554,418.967,341.714,371.821,341.831,361.214,365.721,354.433,411.463,312.492,349.437,388.344,296.64,371.736,324.644,397.32,368.196,329.635,432.018,407.351,358.678
2.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,2.0,2.0,,,2.0,4.0,4.0,15.42,335.577,379.224,342.76,321.164,370.511,388.045,357.047,319.136,329.922,356.35,470.52,408.277,423.532,461.041,425.506,484.64,486.864,415.541,524.384,417.6,480.603,454.516,439.571,406.068,409.862,416.408,476.473,403.096,397.165,441.381
2.0,,,,,,,,,,,,,,,15.5,383.24,362.257,370.7,330.284,351.573,314.69,370.164,352.11,424.597,350.026,384.101,402.585,385.267,325.309,442.477,372.893,392.376,485.859,450.783,359.169,356.527,368.344,328.677,312.451,338.997,307.117,361.803,338.255,386.139,329.282
2.0,,,,,,,,,,,,,,,16.0,424.985,431.915,430.382,422.933,429.519,433.966,473.625,414.059,473.313,423.581,440.617,455.884,370.001,369.917,462.253,428.341,408.779,365.63,430.958,397.446,457.852,423.134,403.477,429.296,408.613,434.227,417.43,436.3,460.959,446.448
2.0,1.0,2.0,2.0,2.0,1.0,6.0,6.0,1.0,2.0,1.0,2.0,2.0,6.0,6.0,15.42,414.103,410.294,372.808,387.377,378.92,352.366,403.306,370.463,368.275,367.649,411.477,422.093,395.808,322.741,462.166,350.955,449.678,419.004,369.525,444.038,371.639,409.033,438.763,367.094,394.591,375.871,433.622,426.845,402.328,383.213
1.0,,,,,,,,,,,,,,,15.42,334.29,362.624,368.79,385.951,416.291,409.259,408.365,387.969,360.468,374.111,364.41,391.995,391.441,364.298,378.37,396.0,377.93,377.64,380.095,413.812,319.716,338.762,323.282,401.24,388.469,372.097,378.87,368.054,321.974,383.189
1.0,,,,,,,,,,,,,,,15.67,391.164,364.686,374.959,365.957,362.828,377.291,386.357,347.799,385.349,450.201,473.421,540.499,502.487,527.62,464.832,483.69,490.267,477.975,459.921,514.738,409.881,393.501,370.228,375.469,358.977,456.317,413.793,377.203,376.314,452.867
2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,16.08,348.629,342.021,358.601,378.868,378.597,354.899,386.159,327.422,359.271,384.219,369.486,392.417,391.145,316.884,386.154,375.933,409.088,391.356,421.269,413.579,406.465,418.02,374.724,419.378,390.811,392.892,398.507,400.806,410.058,374.875
2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,15.42,458.467,476.601,431.144,410.79,466.292,430.554,462.089,439.386,465.666,420.991,374.268,381.849,375.175,354.818,336.57,365.091,357.39,343.312,367.463,363.758,520.669,534.727,471.966,524.072,476.85,476.778,518.073,500.684,522.751,538.442
2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,15.92,432.415,386.146,474.719,466.176,460.44,439.728,450.956,397.573,416.507,458.967,486.51,439.96,468.791,441.921,444.567,415.213,428.399,460.671,487.258,445.443,538.494,498.016,566.666,606.723,500.702,500.582,520.763,474.823,498.575,594.394
1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,15.83,534.38,504.586,589.83,534.286,476.519,564.537,546.977,516.626,555.677,535.389,565.534,579.809,622.822,508.349,579.452,567.69,590.045,586.189,544.493,585.713,605.937,594.111,595.824,605.443,557.796,639.46,632.638,601.486,596.4,560.432
2.0,,,,,,,,,,,,,,,15.75,309.017,304.233,326.096,320.663,322.03,273.05,274.731,293.475,263.767,296.223,204.617,305.885,286.356,223.014,370.41,313.532,321.829,224.475,263.98,309.345,291.802,337.187,346.654,304.846,334.837,332.416,301.909,318.163,276.507,334.007
2.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,15.92,522.453,588.546,478.809,550.603,534.324,456.714,520.627,503.633,483.165,532.622,587.47,577.599,526.195,608.003,641.364,588.949,679.708,622.997,514.581,595.421,526.277,588.753,489.055,560.823,556.342,547.844,536.539,542.139,509.749,535.737
2.0,5.0,5.0,5.0,3.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,15.67,525.989,514.464,520.88,521.787,485.591,511.574,488.402,509.016,479.571,498.311,529.392,472.518,520.406,517.219,461.883,553.109,504.548,544.521,534.387,503.488,547.18,580.145,540.024,510.533,547.726,593.102,546.927,526.815,538.586,566.595
2.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0,16.0,571.734,579.493,546.622,535.364,571.368,574.733,552.32,568.515,557.6,584.657,599.56,567.19,569.003,586.059,535.345,579.378,592.189,529.477,596.07,580.505,578.059,531.101,553.569,581.145,612.333,598.99,553.304,572.818,572.335,562.125
2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,16.0,463.929,462.089,437.078,424.132,492.432,466.703,457.473,443.24,462.489,468.674,504.98,450.011,527.791,505.35,489.696,468.323,492.494,499.824,599.378,440.722,423.865,474.486,397.609,394.437,464.96,426.83,424.886,406.232,457.544,394.4
2.0,,,,,,,,,,,,,,,16.08,483.151,470.392,452.788,465.931,457.877,470.62,477.369,506.861,475.428,451.38,554.672,535.488,551.27,443.748,547.276,518.699,545.475,574.87,527.21,611.7,547.717,507.431,499.228,520.846,561.653,553.146,503.228,525.835,506.907,519.118
2.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,15.42,552.464,554.486,528.486,560.15,498.904,526.973,573.177,544.582,554.918,530.644,574.352,592.417,664.056,653.704,642.534,618.353,557.5,619.98,684.3,614.634,583.025,594.465,627.826,574.969,603.282,600.431,560.925,612.068,642.996,579.882
1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,,,,,,,,16.17,396.02,419.236,427.648,386.272,372.423,397.859,416.55,404.386,343.08,380.75,447.965,390.635,353.294,414.002,351.092,393.735,365.219,376.338,387.595,409.634,427.163,398.582,416.017,429.455,405.676,403.02,415.943,417.01,438.321,405.553
2.0,2.0,4.0,4.0,2.0,3.0,1.0,1.0,,,,,,,,15.75,364.42,330.285,341.396,345.953,332.157,355.454,337.738,328.339,340.159,333.727,344.922,331.422,314.412,330.616,290.751,350.672,296.678,308.33,303.974,376.694,374.171,366.177,333.866,435.959,306.829,344.586,421.799,345.619,382.038,319.57
2.0,1.0,1.0,2.0,2.0,3.0,,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,15.75,290.412,270.852,258.253,358.483,344.437,292.611,298.616,273.337,335.01,265.549,187.558,216.909,171.304,237.938,250.44,280.91,284.405,230.088,211.148,226.033,303.735,353.728,259.095,314.662,249.264,303.76,289.043,317.203,289.5,311.82
2.0,,,,,,,,,,,,,,,15.5,356.652,307.633,344.975,344.168,329.966,335.86,338.322,331.84,330.268,339.372,422.211,387.388,329.188,380.401,415.037,326.116,299.699,314.618,383.856,402.234,428.717,381.08,408.27,428.643,393.601,436.624,367.784,410.369,464.548,416.859
2.0,,5.0,3.0,,4.0,3.0,,5.0,4.0,4.0,,2.0,3.0,5.0,15.42,380.458,354.765,381.439,371.05,360.849,370.349,380.515,381.331,353.664,369.685,349.813,331.695,395.307,302.475,316.991,342.978,425.095,457.485,463.904,346.977,393.051,351.173,378.009,345.532,334.123,292.153,357.394,360.568,362.191,382.348
1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,16.0,375.199,389.966,389.939,425.377,382.708,391.767,453.929,396.006,354.08,348.708,408.633,341.31,377.788,352.29,337.358,369.602,437.088,401.932,372.925,353.125,465.375,422.543,414.767,397.59,386.638,403.72,443.768,457.13,373.763,449.953
1.0,,,,,,,,,,,,,,,15.67,323.55,293.792,409.341,340.263,311.926,353.488,346.029,335.893,347.659,366.044,350.868,345.251,352.337,344.118,382.725,360.399,285.332,357.602,335.03,402.759,363.351,382.586,482.967,399.296,381.757,328.667,405.532,453.186,365.579,471.826
1.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,15.5,354.549,361.419,346.078,316.479,324.593,387.221,294.896,338.319,341.985,337.414,479.851,513.946,478.762,463.549,399.191,482.557,437.856,437.09,477.313,471.984,308.112,325.427,397.006,356.055,293.706,354.516,350.22,357.074,367.41,309.859
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,16.17,337.609,418.565,389.437,388.113,397.543,366.786,315.193,379.582,404.414,372.598,433.722,361.952,399.716,346.836,374.607,366.161,350.833,389.164,343.688,350.359,398.653,426.765,433.045,424.413,406.83,384.973,374.716,396.338,386.035,416.205
1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,16.08,346.512,325.012,314.743,323.001,317.361,360.339,335.118,395.621,370.142,381.496,301.273,276.124,276.733,245.984,312.526,291.823,214.624,278.632,305.963,305.951,302.988,349.815,283.928,337.871,307.571,377.905,304.746,357.251,300.364,337.578
1.0,,,,,,,,,,,,,,,15.75,382.254,375.608,343.976,283.031,417.142,371.033,318.742,376.601,328.87,378.98,419.018,358.497,380.489,324.66,391.278,428.821,268.414,275.513,428.651,366.111,401.419,413.353,367.973,399.075,414.055,360.595,392.617,387.823,395.49,394.782
1.0,,,,,,,,1.0,2.0,3.0,1.0,3.0,4.0,1.0,16.17,331.908,326.168,345.026,286.682,296.154,339.854,293.676,332.985,329.79,320.295,373.611,327.251,401.248,314.448,328.743,428.677,360.515,343.963,370.757,409.186,393.008,373.714,402.206,424.213,369.986,439.539,382.536,457.831,445.39,375.89
2.0,,,,,,,,,,,,,,,15.42,475.319,448.655,383.935,442.427,409.304,424.139,415.67,463.764,429.198,450.144,492.499,492.114,426.796,437.45,472.755,511.183,528.142,494.918,456.832,442.001,514.192,487.401,439.221,480.849,475.258,500.98,485.713,496.811,460.777,499.545
1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,15.42,414.95,305.99,306.475,306.592,361.439,335.087,296.434,362.816,311.609,378.22,422.335,391.94,434.139,380.293,402.679,376.401,381.327,453.146,365.059,442.662,379.435,352.902,331.353,345.969,375.026,363.422,359.877,343.727,304.888,329.707
1.0,,,,,,,,,,,,,,,15.83,279.895,312.065,266.514,273.325,271.873,281.322,282.485,266.192,309.689,268.85,426.796,438.358,323.118,353.3,295.953,302.128,380.594,336.497,361.549,412.212,330.726,262.106,284.963,262.333,314.116,277.456,270.716,289.126,315.774,295.271
1.0,,,,,,,,,,,,,,,15.58,378.706,356.502,360.568,394.06,354.209,360.115,373.392,366.379,323.762,407.054,235.427,312.816,358.67,345.406,328.609,258.749,340.528,334.337,306.883,377.054,321.194,340.523,326.951,375.12,378.38,366.896,345.995,310.356,363.013,381.781
2.0,,,,,,,,,,,,,,,15.58,436.946,403.867,380.922,419.329,400.466,405.324,437.45,421.04,388.208,402.157,391.296,423.891,436.768,436.66,500.068,441.522,465.097,429.109,447.272,432.773,458.39,434.161,406.467,397.587,448.153,419.669,391.133,462.108,385.967,449.597
2.0,,,,,,,,,,,,,,,16.0,326.13,336.177,314.253,294.623,310.634,371.408,297.428,305.629,347.927,287.438,322.519,316.794,309.498,333.481,307.128,345.664,345.597,310.172,306.324,321.549,276.998,293.689,346.214,280.855,314.76,353.113,329.723,300.849,279.156,287.684
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.42,314.672,336.931,361.109,349.873,367.01,339.698,370.946,365.034,351.595,359.804,365.153,382.707,448.809,338.494,456.459,391.095,414.518,331.012,362.629,415.749,318.017,384.179,379.779,383.238,411.442,385.18,370.281,333.571,374.103,379.112
1.0,,,,,,,,,,,,,,,15.67,375.767,423.607,339.717,370.54,423.945,394.931,371.819,329.656,388.214,416.915,455.622,580.31,472.221,517.126,486.476,595.954,579.227,431.888,446.03,503.165,435.711,431.422,414.165,435.719,430.031,459.782,459.926,389.753,399.074,418.652
1.0,,,,,,,,,,,,,,,15.58,390.762,364.504,419.877,385.701,346.695,405.234,329.377,423.929,390.359,377.452,401.207,416.692,449.289,436.862,426.476,439.358,401.091,414.914,422.804,410.982,326.596,357.628,485.864,514.628,400.819,408.226,336.345,422.362,446.471,414.492
2.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,15.83,361.25,373.489,362.075,330.026,379.75,324.438,330.113,347.17,327.874,386.473,380.677,384.771,352.23,355.791,359.715,340.986,350.007,379.365,347.993,382.708,361.17,404.243,336.882,323.817,470.287,348.099,336.628,334.811,362.232,436.529
2.0,,,,,,,,,,,,,,,15.42,325.712,375.231,354.444,324.745,325.207,340.592,331.544,353.866,316.985,370.721,334.504,408.224,377.412,351.456,353.982,405.003,353.556,424.915,355.41,367.273,329.913,377.016,321.085,396.54,379.358,396.675,344.155,382.618,358.283,365.27
1.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,16.17,455.367,466.685,478.716,479.137,493.931,426.907,470.53,450.665,504.751,473.431,538.244,452.245,571.052,486.678,554.629,487.668,546.417,529.626,577.234,560.927,465.071,422.07,463.375,419.923,449.608,448.652,403.714,432.044,480.945,414.653
2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,15.58,416.544,378.204,370.886,359.509,352.026,387.929,354.332,341.577,349.078,375.321,367.202,278.908,402.647,322.157,307.867,340.414,391.821,328.472,345.26,391.326,408.408,397.872,370.364,420.911,379.375,394.999,363.076,405.028,345.765,387.903
2.0,,1.0,2.0,3.0,4.0,3.0,2.0,3.0,1.0,2.0,6.0,5.0,5.0,5.0,15.75,425.901,424.279,446.638,383.181,462.103,378.448,402.959,415.493,409.55,360.604,376.224,439.445,392.779,382.832,408.116,297.518,383.287,440.313,362.113,343.966,411.734,446.957,414.807,381.619,443.156,443.682,415.753,441.639,438.528,393.414
2.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,15.92,576.879,567.906,618.499,609.278,582.997,575.402,583.473,601.196,593.557,599.092,583.569,618.649,587.252,712.699,605.592,588.71,513.684,551.532,642.114,607.159,632.9,642.619,646.885,664.858,595.193,629.336,628.957,651.175,618.784,624.665
2.0,,,,,,,,,,,,,,,16.08,314.577,260.647,347.213,322.579,339.357,352.721,344.314,309.567,364.767,277.479,308.08,295.855,247.939,286.683,312.214,297.258,298.786,322.173,307.916,294.705,397.799,326.237,369.242,398.967,384.424,418.785,296.911,418.629,439.155,296.977
2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,15.25,387.712,355.609,385.201,383.236,343.793,354.233,338.77,380.281,367.432,384.019,346.741,302.194,319.985,316.774,336.266,344.384,314.174,303.859,362.001,314.196,325.635,323.388,301.166,347.956,321.212,273.385,386.687,401.863,334.381,308.306
2.0,,,,,,,,,,,,,,,15.92,449.871,461.503,445.257,437.202,462.715,418.199,468.436,442.097,423.269,471.748,530.236,553.123,513.1,483.332,523.316,332.598,529.615,556.771,542.37,445.384,463.85,456.845,460.103,430.746,450.318,461.269,430.676,462.322,474.841,408.401
2.0,,,,,,,,,,,,,,,16.08,480.963,491.335,491.239,461.408,487.875,506.468,477.1,501.866,442.185,485.982,579.21,538.104,491.671,523.66,488.099,428.733,492.209,496.402,553.002,447.201,538.279,545.555,525.113,568.689,560.774,565.42,529.048,549.938,523.376,542.102
1.0,,,,,,,,,,,,,,,15.92,382.679,397.721,338.874,383.675,372.832,388.054,359.985,341.609,387.197,370.473,477.215,384.081,408.906,415.418,394.27,373.109,420.059,315.051,483.077,481.31,415.625,418.289,394.907,436.677,432.083,417.278,434.52,388.505,436.57,421.948
1.0,,,,,,,,,,,,,,,15.92,315.207,302.844,298.831,254.683,240.955,308.483,303.952,325.089,333.508,299.525,433.869,452.495,426.779,382.504,368.456,384.869,429.348,374.125,418.6,423.297,423.854,411.067,404.052,369.385,319.705,415.814,438.471,438.948,482.286,382.487
2.0,1.0,2.0,3.0,6.0,2.0,4.0,2.0,6.0,5.0,4.0,1.0,2.0,4.0,3.0,15.25,321.713,344.832,364.265,328.205,375.189,360.329,361.521,324.398,325.938,342.873,214.736,248.447,271.986,249.798,220.209,227.551,245.616,263.268,240.46,259.168,286.951,342.819,377.201,306.291,382.675,329.118,343.916,347.914,365.478,324.393
2.0,,,,,,,,1.0,,,,,,,16.08,381.551,399.536,395.254,404.122,430.099,440.285,410.232,433.19,430.045,462.432,521.172,514.764,422.982,426.123,385.978,433.239,423.246,464.59,464.307,441.596,462.391,453.762,445.885,405.819,399.495,477.786,434.504,432.427,419.223,426.314
1.0,3.0,4.0,5.0,2.0,3.0,4.0,2.0,4.0,5.0,4.0,3.0,4.0,4.0,1.0,15.92,492.672,467.218,472.647,479.841,487.986,475.237,465.286,500.106,473.665,454.113,551.946,526.922,520.143,517.77,533.993,520.536,496.267,512.524,509.112,474.874,550.871,519.842,569.555,526.145,546.286,517.606,502.779,533.046,557.479,587.463
1.0,,,,,,,,,,,,,,,15.25,350.786,348.225,297.522,303.352,421.601,326.931,350.035,340.787,311.482,314.501,373.838,423.754,394.721,321.544,392.992,445.727,397.542,405.553,396.965,419.43,400.067,396.333,398.403,359.323,447.671,395.014,372.425,423.114,415.339,341.996
2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,6.0,6.0,,16.17,501.097,425.642,431.474,458.528,443.701,467.077,490.499,471.061,490.196,436.999,494.594,466.457,468.158,420.482,471.819,444.609,480.22,488.952,457.748,483.735,560.423,467.068,517.683,536.034,460.874,473.833,501.973,482.331,480.923,508.449
2.0,1.0,2.0,3.0,4.0,5.0,6.0,2.0,1.0,5.0,3.0,5.0,3.0,5.0,3.0,15.5,397.285,338.886,312.77,355.275,362.641,317.348,383.565,328.453,338.041,370.872,288.121,269.795,202.352,275.619,281.49,231.35,278.423,277.032,272.834,260.907,284.496,220.582,292.443,240.674,258.472,209.555,236.004,234.485,237.604,249.337
1.0,,,,,,,,,,,,,,,15.33,433.439,414.994,418.643,435.938,402.552,368.457,425.591,398.48,407.781,436.392,475.922,492.255,438.457,493.49,455.779,467.764,451.977,501.423,468.435,454.538,450.299,348.737,399.0,394.96,377.553,378.067,365.432,352.772,396.733,375.967
1.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,16.08,425.807,381.294,377.768,405.822,400.162,377.341,392.83,400.316,402.224,405.367,543.884,447.408,477.199,467.019,468.906,458.061,513.691,457.699,515.797,452.711,441.02,410.77,421.897,421.404,423.058,425.422,450.521,428.452,469.327,467.937
2.0,2.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,16.17,382.536,400.014,425.535,452.648,383.598,455.546,470.966,442.291,397.428,447.931,418.102,400.6,431.05,402.434,431.499,441.43,446.974,414.143,448.327,483.852,346.777,418.119,488.878,424.052,435.351,457.728,472.13,384.421,416.999,459.014
2.0,1.0,3.0,2.0,1.0,,1.0,1.0,1.0,,,,,,,15.83,466.092,448.886,461.184,442.186,480.6,486.882,455.891,461.358,468.337,485.823,428.497,553.94,434.686,485.137,519.45,513.794,481.055,479.916,418.943,496.791,497.505,507.642,502.428,522.434,498.983,486.881,493.913,504.963,486.029,523.752
