ST004D01T,ST326Q01JA,ST326Q02JA,ST326Q03JA,ST326Q04JA,ST326Q05JA,ST326Q06JA,IC170Q01JA,IC170Q02JA,IC170Q03JA,IC170Q04JA,IC170Q05JA,IC170Q06JA,IC170Q07JA,IC171Q01JA,IC171Q02JA,IC171Q03JA,IC171Q04JA,IC171Q05JA,IC171Q06JA,IC177Q01JA,IC177Q02JA,IC177Q03JA,IC177Q04JA,IC177Q05JA,IC177Q06JA,IC177Q07JA,IC178Q01JA,IC178Q02JA,IC178Q03JA,IC178Q04JA,IC178Q05JA,IC178Q06JA,IC178Q07JA,AGE,PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH,PV1READ,PV2READ,PV3READ,PV4READ,PV5READ,PV6READ,PV7READ,PV8READ,PV9READ,PV10READ,PV1SCIE,PV2SCIE,PV3SCIE,PV4SCIE,PV5SCIE,PV6SCIE,PV7SCIE,PV8SCIE,PV9SCIE,PV10SCIE
1.0,,,,,,,5.0,4.0,1.0,1.0,1.0,4.0,3.0,1.0,5.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,1.0,3.0,16.0,493.883,451.197,457.954,540.123,472.94,514.37,540.955,502.628,499.871,489.741,504.95,556.933,533.977,583.124,486.494,531.718,568.413,546.269,447.902,492.256,406.908,477.273,444.111,508.804,476.705,480.379,475.656,488.525,450.849,469.728
1.0,,,,,,,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,1.0,5.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,15.42,509.176,454.493,437.902,420.09,416.07,466.97,451.888,433.267,469.037,450.405,487.648,539.936,502.12,474.945,477.872,499.764,478.305,517.223,482.519,522.167,495.311,611.282,560.659,494.56,461.523,507.308,509.532,553.615,559.454,585.971
2.0,,,,,,,5.0,5.0,,5.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,,,,,,,,15.33,380.431,385.448,392.712,398.549,397.775,369.281,388.239,387.424,429.554,448.521,364.396,358.237,444.012,474.656,461.715,389.126,367.959,453.509,350.452,431.345,368.66,287.928,374.422,387.907,410.204,343.016,363.786,398.105,371.959,401.544
2.0,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,16.08,330.723,373.645,343.919,402.68,350.059,357.362,338.091,387.303,346.923,371.129,348.723,358.853,306.979,327.012,342.897,346.578,314.257,348.057,299.235,362.321,358.161,348.5,387.828,418.812,400.657,383.495,362.989,463.975,353.744,378.906
1.0,,,,,,,5.0,5.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,4.0,4.0,2.0,3.0,1.0,2.0,16.33,501.886,537.178,522.753,572.674,539.192,476.96,561.468,528.962,539.919,557.521,546.299,590.184,517.844,587.422,601.837,556.684,559.336,578.063,557.233,576.667,451.053,521.048,500.154,538.411,545.962,464.859,531.854,452.573,485.537,524.143
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.08,369.031,354.776,308.27,338.487,404.693,317.542,321.427,324.832,340.619,347.727,390.09,343.038,306.717,398.739,401.181,411.895,324.182,440.215,399.534,406.446,400.499,355.564,333.126,358.158,372.499,361.232,295.417,378.788,351.532,384.581
2.0,,,,,,,5.0,5.0,1.0,5.0,2.0,1.0,1.0,5.0,5.0,1.0,5.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,6.0,15.83,378.652,353.192,421.45,363.649,375.157,392.584,365.959,319.092,347.127,360.465,340.574,313.853,372.348,316.397,341.439,306.768,325.183,343.484,321.701,334.877,285.863,315.104,382.503,318.141,312.609,321.173,331.977,321.954,248.345,301.36
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,296.566,366.186,333.152,319.71,358.032,329.025,338.278,362.597,352.25,392.255,315.775,290.797,326.286,349.584,302.195,317.187,302.463,327.738,293.951,397.403,282.036,308.552,331.413,280.022,356.782,302.109,265.732,363.301,329.03,372.38
1.0,,,,,,,5.0,5.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,15.42,501.691,498.746,504.727,488.622,466.371,464.731,502.779,499.322,509.359,454.226,553.018,548.415,579.088,581.132,540.565,556.715,563.551,509.576,579.162,545.222,554.789,525.498,561.989,532.816,510.133,505.171,568.141,524.275,551.269,526.328
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.92,553.302,525.3,558.259,560.468,528.339,547.706,564.57,534.11,556.537,499.915,556.627,589.571,613.463,664.633,563.039,568.95,569.615,573.001,616.98,563.351,620.95,644.821,676.262,665.955,605.444,601.001,605.298,603.07,631.177,567.715
2.0,,,,,,,5.0,5.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,1.0,5.0,5.0,5.0,3.0,5.0,2.0,1.0,16.0,525.027,596.53,489.796,581.543,519.573,481.327,501.963,496.398,526.896,479.979,485.609,534.3,490.263,504.929,524.293,484.56,499.778,490.301,488.435,561.959,559.151,623.409,524.696,574.41,544.508,534.834,511.036,549.972,546.522,559.898
2.0,,,,,,,5.0,5.0,1.0,5.0,5.0,2.0,5.0,5.0,5.0,4.0,5.0,2.0,5.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,15.42,566.575,537.897,529.289,580.448,565.085,544.014,508.41,554.196,567.513,554.518,660.563,634.284,690.762,613.447,557.442,616.207,637.423,557.101,609.531,596.156,631.068,592.321,609.646,626.067,598.422,580.908,599.339,602.638,584.972,598.227
2.0,,,,,,,3.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,3.0,2.0,4.0,1.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,15.83,502.775,454.023,485.528,451.453,502.751,488.013,491.055,489.55,512.176,484.07,515.425,466.641,510.099,563.786,503.352,506.34,513.319,491.499,519.469,556.793,623.071,531.362,473.906,573.034,528.351,487.784,569.327,529.591,499.416,551.348
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.17,585.73,561.947,569.37,588.998,585.88,620.226,607.898,620.563,592.903,594.292,567.734,561.745,573.047,570.636,599.942,615.61,537.512,573.632,593.304,577.187,631.7,560.875,632.618,577.871,589.465,617.151,594.809,602.876,613.09,570.139
2.0,,,,,,,1.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0,2.0,3.0,15.5,297.37,277.598,343.32,333.718,305.646,266.52,287.18,311.692,265.958,344.234,171.998,236.144,238.579,256.956,355.39,210.575,264.923,235.512,316.993,330.488,275.717,253.691,335.233,288.996,309.843,278.487,296.213,273.481,301.201,314.007
2.0,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,16.17,432.121,457.551,464.079,456.889,392.139,456.59,466.658,455.409,433.518,458.837,394.184,400.491,428.982,438.397,453.973,484.732,393.327,416.738,361.669,444.026,434.266,478.596,441.2,459.098,471.313,536.74,488.739,432.114,442.053,525.754
2.0,,,,,,,5.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,15.67,536.449,525.804,516.114,544.935,530.199,525.006,489.477,501.759,494.35,512.703,505.633,481.58,481.875,540.419,498.698,544.563,503.49,512.094,493.661,443.41,511.745,511.43,519.405,532.209,521.648,528.739,546.51,521.641,525.946,445.825
1.0,,,,,,,5.0,3.0,1.0,5.0,3.0,4.0,3.0,3.0,5.0,1.0,5.0,3.0,3.0,6.0,6.0,6.0,5.0,5.0,5.0,3.0,6.0,6.0,6.0,5.0,5.0,5.0,3.0,16.17,390.088,390.639,385.077,411.587,434.272,374.347,410.29,425.676,431.55,425.944,465.779,410.993,444.489,416.849,455.13,432.933,409.449,449.217,452.058,448.909,401.438,330.564,429.979,349.336,390.642,339.728,427.622,440.345,394.784,406.929
2.0,,,,,,,5.0,5.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,1.0,5.0,3.0,5.0,5.0,5.0,3.0,2.0,4.0,3.0,2.0,4.0,4.0,3.0,,3.0,2.0,3.0,16.33,662.604,638.114,629.203,638.912,647.306,601.229,627.87,613.078,629.689,664.87,710.884,684.476,704.595,672.065,635.287,694.406,720.703,704.238,697.815,706.349,658.272,639.483,675.233,551.856,639.103,634.811,606.333,655.043,648.156,658.356
2.0,,,,,,,5.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,1.0,1.0,3.0,1.0,1.0,16.25,457.983,425.557,380.632,389.785,431.23,363.583,432.154,397.723,389.919,399.694,506.685,513.419,381.279,461.379,468.39,485.88,473.747,483.827,418.804,536.094,482.503,510.156,439.611,475.267,506.426,470.668,506.377,494.151,452.877,475.217
1.0,,,,,,,5.0,4.0,1.0,5.0,1.0,3.0,5.0,3.0,5.0,4.0,5.0,1.0,2.0,1.0,5.0,1.0,1.0,4.0,3.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,15.42,444.321,430.408,423.69,418.976,444.436,434.48,403.45,468.497,456.652,419.308,499.284,512.013,472.985,524.555,511.897,512.697,489.153,480.804,521.813,504.806,448.496,425.391,450.167,406.084,431.886,443.69,342.335,482.714,409.143,411.827
1.0,,,,,,,5.0,4.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,5.0,5.0,6.0,2.0,3.0,2.0,3.0,15.92,567.894,560.386,618.824,597.592,642.964,608.228,562.921,629.346,553.355,545.102,749.644,780.179,752.831,666.901,733.664,731.363,692.413,722.053,689.823,725.049,681.956,677.284,690.76,664.309,685.022,702.449,650.696,741.03,625.046,649.674
1.0,,,,,,,5.0,3.0,1.0,5.0,1.0,3.0,5.0,4.0,5.0,2.0,5.0,1.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,5.0,4.0,3.0,2.0,,2.0,3.0,15.92,457.083,478.467,468.604,488.217,490.195,512.726,473.449,472.577,522.042,436.68,594.491,543.936,608.302,625.92,539.415,651.915,498.159,608.539,602.404,580.236,494.192,471.687,512.058,573.196,512.21,595.802,454.99,492.524,553.509,478.772
1.0,,,,,,,3.0,4.0,1.0,4.0,4.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,6.0,6.0,6.0,1.0,1.0,6.0,1.0,6.0,16.08,406.388,326.699,295.358,341.788,353.607,371.33,330.24,324.484,260.721,340.212,389.812,354.466,318.104,359.676,384.22,322.093,381.978,412.868,353.899,385.491,339.78,318.722,302.816,341.894,347.225,339.061,348.745,359.852,302.01,305.95
1.0,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,15.5,417.515,350.827,400.774,395.185,434.481,412.587,405.94,424.914,409.756,412.75,386.863,373.768,354.728,361.618,387.285,387.311,393.849,445.052,404.004,412.594,436.84,397.459,407.806,400.865,465.649,384.362,414.183,467.772,463.941,445.974
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.75,455.745,439.138,516.377,500.367,486.055,487.36,444.798,448.885,453.286,426.326,443.645,517.335,511.911,418.504,488.128,532.403,476.679,491.168,496.737,470.749,521.254,511.889,559.547,487.732,463.208,537.127,531.427,507.149,511.581,511.439
1.0,,,,,,,5.0,5.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,2.0,5.0,3.0,3.0,1.0,4.0,2.0,4.0,4.0,2.0,1.0,16.0,350.437,395.926,424.009,376.109,411.161,459.532,387.589,412.284,356.932,374.828,421.343,394.428,352.996,411.895,345.632,378.451,335.974,361.676,334.693,398.933,419.79,394.029,331.822,380.262,400.254,408.405,366.231,425.473,357.16,370.524
1.0,,,,,,,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,,1.0,5.0,4.0,3.0,3.0,5.0,2.0,2.0,3.0,2.0,2.0,3.0,6.0,6.0,3.0,1.0,1.0,3.0,15.42,476.292,492.824,550.252,542.135,509.802,510.776,514.506,522.908,516.168,471.187,476.807,528.548,569.42,568.464,542.284,575.356,533.979,575.889,546.24,545.863,480.761,497.63,547.105,562.531,508.976,582.127,517.503,562.654,533.985,525.18
1.0,,,,,,,2.0,6.0,2.0,6.0,2.0,2.0,6.0,2.0,6.0,2.0,6.0,2.0,2.0,6.0,6.0,6.0,2.0,6.0,2.0,3.0,6.0,5.0,4.0,3.0,3.0,4.0,3.0,15.75,345.913,337.989,333.945,330.154,325.0,390.968,310.917,314.99,349.907,365.352,365.677,349.078,438.063,402.472,410.197,415.726,379.168,363.15,389.786,370.012,388.467,289.91,319.93,345.76,306.697,343.513,371.502,310.465,356.305,300.614
2.0,,,,,,,4.0,4.0,1.0,4.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,15.92,371.312,353.738,367.833,355.049,347.127,385.33,345.625,318.78,394.403,341.919,388.379,361.924,332.727,367.874,357.542,393.319,380.595,358.978,370.063,306.831,394.557,378.711,338.583,392.218,386.908,407.226,389.607,327.235,403.062,403.238
1.0,,,,,,,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,5.0,2.0,5.0,5.0,2.0,3.0,3.0,1.0,1.0,16.17,387.691,349.49,376.257,388.598,354.884,391.995,331.657,353.711,349.26,360.599,436.262,333.338,407.494,409.001,471.982,392.122,379.652,380.776,383.822,437.939,397.448,337.138,375.836,404.236,404.937,434.13,381.527,389.361,421.761,432.114
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.58,589.923,607.995,568.78,535.587,593.512,604.554,560.454,591.841,583.903,547.972,626.973,604.672,566.875,460.777,615.324,608.733,558.541,599.912,549.66,556.347,581.506,601.253,558.547,498.311,603.438,563.627,515.558,587.365,598.164,541.046
1.0,,,,,,,6.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,15.58,512.906,574.097,533.088,586.896,544.405,507.847,509.664,502.325,527.515,544.614,611.755,616.01,515.872,644.771,604.646,532.779,562.445,513.064,619.854,612.323,592.294,619.36,569.584,607.284,582.534,609.169,593.634,585.35,608.184,612.453
2.0,,,,,,,4.0,6.0,6.0,5.0,5.0,5.0,4.0,6.0,5.0,5.0,4.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,15.5,254.559,327.211,297.034,277.378,312.484,278.116,262.016,265.19,293.665,317.143,266.138,252.563,316.347,329.305,210.767,209.812,299.362,297.563,263.772,310.363,206.786,197.279,226.879,271.325,245.663,183.932,252.063,200.948,274.734,284.771
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.83,344.925,349.547,414.702,391.47,390.147,379.018,396.484,439.424,370.065,380.336,445.095,436.225,485.474,384.158,444.995,486.523,405.406,451.051,413.103,462.707,374.029,371.726,434.984,363.103,408.631,380.095,349.646,375.372,390.655,381.999
1.0,,,,,,,5.0,,6.0,5.0,6.0,4.0,4.0,4.0,5.0,6.0,5.0,3.0,3.0,1.0,4.0,4.0,2.0,5.0,2.0,2.0,1.0,5.0,5.0,5.0,3.0,4.0,3.0,15.83,432.374,463.568,454.475,441.441,453.789,474.301,448.188,441.607,442.757,477.781,488.229,454.206,465.883,503.724,489.229,542.648,489.199,492.212,486.846,451.061,457.898,421.942,437.619,395.488,477.291,452.126,451.254,417.417,421.605,413.943
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.92,387.514,410.628,407.814,414.118,420.205,462.605,428.578,439.017,407.916,421.995,373.265,492.978,445.817,441.283,469.081,456.942,371.535,467.031,392.249,389.446,426.474,426.135,487.646,414.012,410.848,441.314,449.942,449.445,389.77,437.025
2.0,,,,,,,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,16.25,670.515,655.974,666.658,645.63,717.008,680.08,695.791,708.787,699.865,657.247,630.543,545.744,581.691,559.82,599.944,599.862,700.162,632.924,614.675,549.467,715.323,605.728,641.813,641.721,690.342,669.222,682.248,667.04,662.34,669.212
1.0,,,,,,,5.0,5.0,1.0,5.0,4.0,2.0,5.0,4.0,5.0,1.0,4.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,15.92,522.328,552.958,556.193,545.442,514.638,571.233,566.821,512.327,568.362,544.396,564.773,601.599,580.842,583.54,594.56,572.275,621.997,610.459,555.603,588.669,590.908,601.874,514.95,579.163,529.77,599.25,586.31,589.531,600.626,544.3
1.0,,,,,,,5.0,5.0,1.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,15.42,400.842,471.498,430.055,459.58,410.209,433.401,435.835,431.3,434.908,461.684,527.988,611.623,539.137,497.87,532.909,572.895,504.132,495.4,580.216,587.725,381.63,493.153,484.257,434.134,414.769,474.786,437.272,430.11,451.652,451.683
2.0,,,,,,,5.0,5.0,1.0,5.0,2.0,2.0,2.0,4.0,5.0,1.0,5.0,1.0,4.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,15.75,493.921,488.003,553.06,551.297,604.844,541.548,565.92,548.679,479.514,483.331,529.867,507.19,539.95,545.477,511.384,573.868,534.675,532.925,524.384,537.071,520.269,575.008,564.522,539.97,592.957,580.198,576.842,577.592,543.209,588.707
2.0,,,,,,,4.0,4.0,6.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,3.0,2.0,1.0,2.0,2.0,2.0,15.92,399.527,418.238,373.586,404.152,399.661,369.102,397.192,384.587,400.74,409.873,475.573,491.042,448.328,481.633,454.618,476.41,510.179,419.805,460.194,493.171,503.789,517.801,549.994,539.536,516.388,522.146,534.001,489.615,489.159,553.182
1.0,,,,,,,5.0,5.0,3.0,5.0,4.0,3.0,3.0,5.0,5.0,3.0,5.0,3.0,4.0,4.0,5.0,3.0,2.0,5.0,2.0,3.0,5.0,5.0,4.0,2.0,5.0,2.0,2.0,16.33,639.802,642.278,589.013,637.096,633.299,614.377,600.045,589.875,632.653,646.106,656.985,545.251,611.491,624.431,614.785,514.14,550.345,664.606,644.111,590.553,670.706,625.679,643.981,624.589,704.386,613.447,587.229,635.266,619.979,654.8
1.0,,,,,,,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,1.0,1.0,4.0,4.0,2.0,5.0,4.0,2.0,1.0,4.0,5.0,2.0,4.0,4.0,1.0,15.5,479.57,470.405,448.091,477.378,476.881,454.129,472.837,485.136,423.38,435.697,525.719,575.85,526.847,536.575,536.419,538.089,506.322,554.171,501.542,538.452,504.673,436.07,526.563,565.717,531.18,434.807,535.776,508.213,490.701,501.859
2.0,,,,,,,4.0,4.0,1.0,4.0,4.0,1.0,4.0,3.0,5.0,4.0,5.0,1.0,4.0,,,5.0,,,,,5.0,,5.0,5.0,4.0,4.0,5.0,16.17,346.574,396.0,361.316,358.379,372.173,346.228,394.271,342.666,316.244,332.364,277.311,357.108,371.852,359.851,372.23,385.347,410.662,432.733,279.955,350.195,278.732,375.689,355.951,351.466,368.248,358.93,385.555,364.154,299.394,286.556
1.0,,,,,,,4.0,5.0,1.0,5.0,1.0,2.0,4.0,1.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,2.0,2.0,3.0,6.0,6.0,6.0,6.0,3.0,6.0,15.75,418.532,310.52,324.441,393.883,361.759,377.997,417.858,371.233,367.911,396.713,429.039,441.191,378.545,452.22,309.369,357.975,395.244,339.486,384.002,415.28,398.796,326.875,246.523,362.451,306.198,319.634,406.633,300.428,321.696,342.787
2.0,,,,,,,5.0,4.0,6.0,5.0,4.0,5.0,4.0,,,,,,,3.0,1.0,3.0,2.0,1.0,3.0,3.0,4.0,1.0,3.0,3.0,1.0,3.0,2.0,15.75,608.864,617.043,605.728,647.434,643.264,587.578,644.785,604.522,623.631,625.184,705.372,598.926,630.917,647.942,591.692,656.167,716.789,614.652,619.376,685.552,786.412,702.574,684.528,725.81,723.69,653.698,744.133,679.545,717.152,738.977
1.0,,,,,,,4.0,5.0,1.0,4.0,3.0,3.0,3.0,4.0,5.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,15.92,394.878,384.954,389.206,335.664,345.61,351.08,346.85,357.317,351.377,368.129,386.234,396.815,432.988,447.197,402.653,394.326,400.261,401.789,416.419,397.671,400.126,421.387,344.359,349.824,358.708,387.004,312.064,348.751,343.685,345.297
2.0,,,,,,,5.0,5.0,1.0,5.0,5.0,2.0,5.0,4.0,5.0,1.0,4.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,4.0,2.0,4.0,3.0,1.0,3.0,1.0,5.0,16.0,450.525,430.238,405.07,434.986,457.071,434.48,428.031,416.572,434.964,414.501,522.074,489.356,502.669,508.569,541.697,499.403,483.668,525.896,513.938,519.596,527.369,483.513,491.487,534.302,491.918,523.496,505.179,511.874,493.901,487.296
1.0,,,,,,,4.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,15.58,452.691,440.499,474.479,466.596,480.259,415.238,488.199,505.307,464.69,498.372,465.42,504.311,557.647,447.884,491.279,446.601,426.003,418.462,488.784,544.728,602.643,518.798,622.088,580.919,588.12,525.884,585.065,568.794,567.228,619.714
1.0,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,16.17,399.074,384.972,362.004,419.469,385.089,413.888,354.812,411.057,376.187,427.056,373.613,483.154,399.42,434.803,442.591,500.263,434.298,479.594,429.41,503.057,365.407,448.994,389.333,408.165,396.518,448.27,406.387,421.015,424.752,441.45
2.0,,,,,,,1.0,3.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,6.0,1.0,1.0,4.0,6.0,6.0,1.0,1.0,1.0,2.0,3.0,5.0,6.0,1.0,1.0,1.0,3.0,16.33,476.497,472.494,505.206,471.884,499.089,490.305,537.907,450.706,478.564,489.793,491.852,525.933,514.991,518.319,476.794,523.372,505.744,492.47,544.94,474.515,465.224,553.068,554.726,501.866,536.389,571.029,570.723,529.753,518.044,513.332
1.0,,,,,,,5.0,4.0,6.0,5.0,5.0,3.0,5.0,2.0,5.0,6.0,4.0,1.0,5.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,4.0,3.0,5.0,2.0,1.0,2.0,1.0,16.0,647.888,638.905,586.643,622.764,604.11,603.835,641.624,601.233,592.275,648.384,732.933,706.88,798.854,681.07,688.977,710.424,736.507,708.059,763.775,733.222,754.244,672.747,743.02,683.481,707.563,702.376,698.86,658.083,717.198,722.806
1.0,,,,,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,,4.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,15.5,287.878,344.357,359.511,333.617,317.346,271.356,312.938,308.737,353.579,309.414,243.922,334.574,338.249,326.307,322.929,240.783,298.224,305.811,327.077,257.53,301.815,293.482,312.175,298.233,317.16,265.144,271.263,268.729,305.164,226.616
2.0,,,,,,,5.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,4.0,3.0,4.0,5.0,5.0,1.0,1.0,4.0,1.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,15.75,427.935,454.557,509.548,496.548,477.948,479.192,497.886,483.833,525.336,477.309,558.018,576.946,555.774,552.608,525.571,533.118,554.503,575.878,540.376,566.596,513.645,443.186,593.92,515.862,565.969,498.211,527.2,550.667,568.727,573.996
2.0,,,,,,,5.0,5.0,6.0,5.0,3.0,2.0,5.0,4.0,5.0,1.0,5.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,4.0,2.0,1.0,2.0,4.0,4.0,16.0,590.95,553.897,570.177,569.663,527.65,562.587,557.674,557.814,517.593,518.264,584.272,622.802,532.49,551.694,594.23,588.166,582.556,582.376,567.932,564.492,642.616,605.396,624.204,659.447,612.576,694.602,578.16,635.944,543.39,605.939
1.0,,,,,,,5.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,4.0,5.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,16.08,386.499,470.867,412.022,415.652,441.067,377.84,431.709,404.286,453.574,458.075,425.358,473.116,571.249,456.335,472.918,446.439,520.438,483.874,524.934,423.276,454.743,520.15,501.085,488.691,483.029,460.127,520.596,470.334,493.776,501.211
1.0,,,,,,,5.0,2.0,1.0,5.0,5.0,3.0,5.0,3.0,5.0,2.0,5.0,3.0,3.0,2.0,5.0,4.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,16.17,472.58,448.871,454.372,496.45,432.599,459.273,428.307,449.915,400.834,485.744,577.58,574.804,571.43,542.103,471.714,413.12,530.704,606.744,507.369,499.13,482.817,472.123,441.711,460.357,414.576,421.062,455.947,491.87,417.928,438.703
1.0,,,,,,,5.0,3.0,6.0,3.0,5.0,5.0,4.0,4.0,5.0,6.0,4.0,4.0,3.0,2.0,3.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,15.67,519.897,506.873,505.906,442.51,491.761,502.708,512.78,502.874,552.194,492.466,529.464,567.304,586.975,537.763,515.576,542.774,575.904,578.146,562.431,532.792,537.265,494.117,494.204,501.147,496.219,493.44,542.515,511.062,534.034,519.961
