ST004D01T,ST326Q01JA,ST326Q02JA,ST326Q03JA,ST326Q04JA,ST326Q05JA,ST326Q06JA,IC170Q01JA,IC170Q02JA,IC170Q03JA,IC170Q04JA,IC170Q05JA,IC170Q06JA,IC170Q07JA,IC171Q01JA,IC171Q02JA,IC171Q03JA,IC171Q04JA,IC171Q05JA,IC171Q06JA,IC177Q01JA,IC177Q02JA,IC177Q03JA,IC177Q04JA,IC177Q05JA,IC177Q06JA,IC177Q07JA,IC178Q01JA,IC178Q02JA,IC178Q03JA,IC178Q04JA,IC178Q05JA,IC178Q06JA,IC178Q07JA,AGE,PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH,PV1READ,PV2READ,PV3READ,PV4READ,PV5READ,PV6READ,PV7READ,PV8READ,PV9READ,PV10READ,PV1SCIE,PV2SCIE,PV3SCIE,PV4SCIE,PV5SCIE,PV6SCIE,PV7SCIE,PV8SCIE,PV9SCIE,PV10SCIE
1.0,,,,,,,5.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,1.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,6.0,6.0,,5.0,6.0,16.25,457.202,407.027,400.787,458.214,389.21,423.47,463.026,454.751,456.27,408.556,521.598,566.254,504.7,491.077,496.254,487.024,477.1,547.464,517.166,515.444,476.031,465.893,444.47,473.567,457.426,455.92,491.883,457.244,463.554,480.251
1.0,,,,,,,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,4.0,4.0,,3.0,6.0,2.0,4.0,3.0,6.0,4.0,3.0,3.0,2.0,1.0,15.83,368.08,399.044,381.62,358.936,380.574,389.88,395.899,392.639,397.388,354.857,503.739,399.456,526.937,379.113,383.979,487.89,445.111,441.801,464.415,406.721,428.65,388.665,424.552,381.377,336.05,424.173,382.401,419.382,436.484,333.927
2.0,,,,,,,4.0,4.0,1.0,5.0,5.0,2.0,5.0,5.0,5.0,2.0,5.0,2.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,15.75,557.212,634.485,591.851,556.097,623.817,635.038,609.755,586.727,616.402,596.688,579.383,660.059,638.376,577.156,706.158,684.912,639.254,612.991,661.967,649.077,623.135,716.71,663.9,623.807,703.447,653.944,670.452,676.444,685.171,681.749
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.17,549.776,539.044,523.289,571.4,522.381,556.961,556.106,513.768,552.656,554.535,598.391,598.42,549.388,649.323,618.287,623.782,546.998,569.787,656.533,647.345,597.84,615.959,573.315,647.716,601.958,616.929,638.663,572.422,613.92,631.984
1.0,,,,,,,4.0,5.0,1.0,4.0,4.0,3.0,5.0,5.0,5.0,1.0,5.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,5.0,5.0,4.0,4.0,3.0,2.0,15.5,467.312,452.246,447.884,445.459,443.64,457.023,442.623,475.227,407.155,433.851,585.362,567.045,575.529,616.602,596.157,571.038,611.563,582.715,568.068,609.874,497.913,500.505,569.703,552.192,511.74,513.789,605.443,594.336,513.525,495.994
1.0,,,,,,,5.0,5.0,1.0,5.0,5.0,3.0,3.0,4.0,5.0,3.0,5.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,15.5,523.664,506.518,501.971,470.416,467.219,458.235,462.886,443.307,486.713,501.696,525.876,522.955,572.89,641.945,606.753,567.68,538.915,495.093,557.15,562.021,524.264,563.537,534.912,537.085,524.827,494.094,513.367,517.103,528.481,543.272
1.0,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,1.0,3.0,2.0,3.0,6.0,6.0,1.0,2.0,6.0,1.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,16.08,364.569,384.607,373.127,394.506,432.718,423.464,393.196,363.381,399.194,375.006,488.941,404.306,533.394,464.119,550.677,441.833,520.051,463.383,513.324,525.724,424.281,353.455,421.717,432.408,441.72,398.716,427.804,396.86,413.758,407.336
1.0,,,,,,,4.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,1.0,5.0,3.0,2.0,6.0,6.0,6.0,1.0,6.0,3.0,2.0,16.25,524.697,505.609,537.908,536.625,516.908,505.404,527.766,515.14,521.468,480.601,590.688,653.016,643.527,649.64,563.64,595.007,620.642,671.969,608.683,655.377,572.156,566.587,526.869,553.974,533.89,559.012,550.813,583.252,565.187,569.389
1.0,,,,,,,5.0,,1.0,4.0,3.0,3.0,5.0,4.0,5.0,4.0,3.0,2.0,4.0,2.0,5.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,5.0,15.5,575.253,541.095,539.405,524.977,542.198,525.052,562.85,527.507,517.486,532.251,627.33,628.35,683.706,639.7,616.472,578.584,612.549,601.136,569.854,581.497,630.836,616.276,650.628,630.074,643.263,560.898,655.607,605.17,574.718,649.376
1.0,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,15.92,274.427,298.918,295.437,284.837,339.204,307.26,333.56,274.871,282.11,272.078,303.473,316.023,294.93,314.794,333.834,297.991,273.64,336.104,300.974,360.964,254.895,271.192,269.276,234.146,362.405,386.226,306.777,241.74,260.128,307.328
